prefix,input_text,target_text
English to Thai,The electric furnace temperature control system is one of the real-world second-order systems plus time delay (SOSPD) widely used as the process control in industries.,ระบบควบคุมอุณหภูมิเตาหลอมไฟฟ้าเป็นระบบอันดับสองที่มีการประวิงเวลา (Second-Order System Plus Time Delay: SOSPD) ที่ใช้กันอย่างแพร่หลายในการควบคุมกระบวนการในอุตสาหกรรม
English to Thai,It is normally operated under the PID feedback control loop.,โดยปกติจะดำเนินการภายใต้ลูปควบคุมป้อนกลับแบบ PID
English to Thai,"The PIDA controller, however, performed better response than the PID controller for higher order plant.",แต่อย่างไรก็ตาม ตัวควบคุม PIDA ยังให้ผลตอบสนองที่ดีกว่าตัวควบคุม PID สำหรับโรงงานที่มีลำดับสูงกว่า
English to Thai,"In this paper, an optimal PIDA controller design for the electric furnace temperature control system is presented. ""Regarding to modern optimization context, the Bat-inspired Algorithm (BA) which is one of the most efficient population-based metaheuristic optimization techniques is applied to search for the appropriate PIDA’s parameters.""",ในวิจัยนี้จะนำเสนอการออกแบบตัวควบคุม PIDA ที่เหมาะสมที่สุดสำหรับระบบควบคุมอุณหภูมิของเตาไฟฟ้า เกี่ยวกับบริบทการเพิ่มประสิทธิภาพที่ทันสมัย ด้วยอัลกอลิทึมที่ได้รับแรงบันดาลใจจากค้างคาว (BA) ซึ่งเป็นหนึ่งในเทคนิคการเพิ่มประสิทธิภาพเมตาฮิวริสติก ตามประชากรที่มีประสิทธิภาพมากที่สุดถูกนำไปใช้เพื่อค้นหาพารามิเตอร์ของ PIDA ที่เหมาะสม
English to Thai,The proposed BA-based PIDA design framework is considered as the constrained optimization problem.,เฟรมเวิร์กในการออกแบบ PIDA ที่ออกแบบโดย BA ที่เสนอถือเป็นปัญหาการปรับให้เหมาะสมที่มีข้อจำกัด
English to Thai,System responses obtained by the PIDA controller designed by the BA will be compared with those obtained by the PIDA controller also designed by the BA.,การตอบสนองของระบบที่ได้รับจากคอนโทรลเลอร์ PIDA ที่ออกแบบโดย BA จะถูกนำไปเปรียบเทียบกับการตอบสนองที่ได้รับจากคอนโทรลเลอร์ PIDA ด้วย
English to Thai,"As results, it was found that the PIDA can provides the very satisfactory tracking and regulating responses of the electric furnace temperature control system superior to the PIDA, significantly.",จากผลการวิจัยพบว่า PIDA ที่ออกแบบด้วย BA สามารถติดตามและควบคุมการตอบสนองของระบบควบคุมอุณหภูมิเตาไฟฟ้าที่เหนือกว่า PIDA ได้อย่างน่าพอใจอย่างมาก
English to Thai,This research presents the application of a Programmable logic controller to control the operation of an automatic drinking water filling machine.,งานวิจัยฉบับนี้นำเสนอการวิเคราะห์ประสิทธิภาพของเครื่องบรรจุน้ำดื่มอัตโนมัติต้นทุนต่ำแบบหัวจ่ายเดียวที่ควบคุมการทำงานด้วยโปรแกรมเมเบิลลอจิกคอนโทรลเลอร์
English to Thai,The PLC is used to control the operation of the DC motor and control the stepper motor of the automatic drinking water filling machine.,ซึ่งโปรแกรมเมเบิลลอจิกคอนโทรลเลอร์ถูกใช้ควบคุมการทำงานมอเตอร์ไฟฟ้ากระแสตรงและควบคุมสเต็ปมอเตอร์ของตัวเครื่องบรรจุน้ำดื่มอัตโนมัติ
English to Thai,"The working principle is as follows: 1) When a water bottle is placed on the conveyor belt, a conveyor belt delivers the bottles to the water-filling point.",โดยมีหลักการทำงานเป็นขั้นตอนดังนี้ 1) เมื่อนำขวดน้ำวางที่สายพานลำเลียง สายพานลำเลียงจะส่งขวดไปยังจุดบรรจุน้ำ
English to Thai,"2) When the water is filled to the right volume, the water bottle will be moved from the water-filling point to the capping point using the stepper motor rotation.",2) เมื่อบรรจุน้ำจนถึงปริมาตรที่เหมาะสมจะย้ายขวดน้ำจากจุดบรรจุน้ำไปยังจุดปิดขันฝาโดยใช้การหมุนจากสเต็ปมอเตอร์
