prefix,input_text,target_text
English to Thai,"Before applying the plan, the average machine stop of a mouth stunner was 9 times and an electric splitting saw was 12 times per month.",ข้อมูลก่อนการนำแผนการบำรุงรักษาเชิงป้องกันมาใช้งาน พบว่ามีเหตุขัดข้องเฉลี่ยของปืนทำสลบอยู่ที่ 9 ครั้งต่อเดือน เลื่อยผ่าซากอยู่ที่ 12 ครั้งต่อเดือน
English to Thai,The mean time between failures (MTBF) of the stunner downtime was 6.46 hours each and the splitting saw was 4.76 hours each.,ระยะเวลาเฉลี่ยระหว่างเกิดเหตุขัดข้อง(MTBF) ของปืนทำสลบอยู่ที่ 6.46 ชั่วโมง เลื่อยผ่าซากเท่ากับ 4.76 ชั่วโมง
English to Thai,The average availability rate of the stunner was at 93.97% and the splitting saw was at 92.83%.,สมรรถนะความพร้อมใช้งานของปืนทำสลบอยู่ที่ 93.97% เลื่อยผ่าซากเท่ากับ 92.83%
English to Thai,The OEE of the stunner was at 73.20% and the splitting saw was at 66.42%.,ประสิทธิผลโดยรวม(OEE) ของปืนทำสลบอยู่ที่ 73.20% เลื่อยผ่าซากอยู่ที่ 66.42% ภายหลังการนำแผนการซ่อมบำรุงเชิงป้องกันมาใช้งาน
English to Thai,"However after implementing the plan, the MTBF rate was improved.",พบว่าจำนวนเหตุขัดข้องลดลง
English to Thai,The stunner downtime was lower to 9.69 hours each and the splitting saw was lower to 8.18 hours.,ทำให้ระยะห่างในการเกิดเหตุขัดข้องเพิ่มขึ้น โดยระยะเวลาเฉลี่ยระหว่างการเกิดเหตุขัดข้อง(MTBF) ของปืนทำสลบอยู่ที่ 9.69 ชั่วโมง เลื่อยผ่าซากเท่ากับ 8.18 ชั่วโมง
English to Thai,The overall downtime periods of the stunner and the splitting saw were 3.15 and 3.77 hours per month respectively. The availability rate of the stunner was 94.72% (increased by 0.75%) and the splitting saw was 93.69% (increased by 0.86%).,เวลารวมเฉลี่ยในการเกิดเหตุขัดข้องของปืนทำสลบ 3.15 ชั่วโมงต่อเดือน เลื่อยผ่าซากเท่ากับ 3.77 ชั่วโมงต่อเดือนและอัตราความพร้อมใช้งานของปืนทำสลบอยู่ที่ 94.72 % (เพิ่มขึ้น 0.75%) เลื่อยผ่าซากเท่ากับ 93.69 % (เพิ่มขึ้น 0.86%)
English to Thai,The OEE rate of the stunner and the splitter saw had increased to 77.14% (increased by 3.94%) and 77.14% (increased by 10.72%) respectively.,ประสิทธิผลโดยรวมของปืนทำสลบอยู่ที่ 77.14% (เพิ่มขึ้น 3.94%) เลื่อยผ่าซากเท่ากับ 77.14% (เพิ่มขึ้น 10.72%) ตามลำดับ
English to Thai,This paper described an evaluation of the multiple criteria traffic and transportation environmental impact on the Central Business District (CBD) road networks in the city of Khon Kaen.,บทความวิจัยนี้ได้กล่าวถึงการประเมินผลกระทบสิ่งแวดล้อมจากการจราจรและขนส่งแบบหลายปัจจัยบนโครงข่ายถนนในพื้นที่ศูนย์กลางธุรกิจของเมือง ในเขตผังเมืองรวมเมืองขอนแก่น
English to Thai,The Mathematical Model Method (MMM) approach was adopted to estimate the levels of traffic and transportation environmental impacts of 39 road segments for 3 factors including (1) CO concentrations; (2) Noise levels and (3) Pedestrian accident risk.,"โดยประยุกต์ใช้วิธีแบบจำลองทางคณิตศาสตร์ (Mathematical Model Method, MMM) บูรณาการกับวิธีกระบวนการลำดับชั้นเชิงวิเคราะห์ (Analytic Hierarchy Process, AHP) ในการประเมินค่าดัชนีผลกระทบสิ่งแวดล้อมรวม (Composite Environmental Impact Score, CEIS) ของช่วงถนน 39 ช่วง เพื่อประมาณการผลกระทบสิ่งแวดล้อม 3 ปัจจัย ได้แก่ (1) ความเข้มข้นของก๊าซคาร์บอนมอนอกไซด์ (CO) (2) ค่าระดับเสียงจากการจราจร และ (3) ความเสี่ยงของคนเดินเท้าที่จะเกิดอุบัติเหตุขณะข้ามถนน"
