sentences
งานวิจัยนี้ทำการศึกษาเส้นทางรถรับส่งพนักงานของบริษัทผลิตชุดอุปกรณ์ไฟฟ้าสำหรับรถยนต์และรถจักยานยนต์ในเขตจังหวัดชลบุรี
ซึ่งมีพนักงานกลุ่มตัวอย่างที่สนใจจำนวน 237 คน
"คิดเป็นระยะทางในการเดินทางมาทำงานรวม 10,191 กิโลเมตรโดยประมาณ"
"ทำให้มีปริมาณคาร์บอนฟุตพริ้นท์เกิดขึ้น 1,059.864 กิโลกรัม/คน-กิโลเมตร"
โดยวัตถุประสงค์ของงานวิจัยนี้ (1) เพื่อจัดเส้นทางของรถรับส่งพนักงานซึ่งเป็นสวัสดิการของบริษัท
(2) ลดการนำรถส่วนตัวมาใช้ซึ่งทำให้ปัญหาการจราจรและมลภาวะลดลง
ซึ่งงานวิจัยจึงทำการแบ่งเขตพื้นที่รับผิดชอบเป็น 12 เขตตามเขตชุมชนและจัดรถให้มีขนาดเหมาะสมกับปริมาณผู้ใช้บริการ
หลังจากนั้นตัวแบบการเดินทางของพนักงานขายถูกนำมาใช้เพื่อจัดเส้นทางของรถรับส่งพนักงานที่เหมาะสม
อย่างไรก็ดีการแบ่งเขตทำให้การแก้ปัญหาง่ายขึ้นเนื่องจากขนาดของปัญหาที่เล็กลง
ส่งผลให้สามารถหาคำตอบได้โดยใช้  Excel Premium Solver
"ผลที่ได้คือระยะทางรวมของทุกเขตเท่ากับ 1,209.56 กิโลเมตร"
และคาร์บอนฟุตพริ้นท์ลดลง 21.041% ต่อเที่ยว
