sentences
งานวิจัยนี้มีวัตถุประสงค์เพื่อเพิ่มอัตราการผลิตในกระบวนการผลิต กรณีศึกษา ขวดน้ำปลารีไซเคิล
ซึ่งขอบเขตของงานวิจัยนี้ ครอบคลุมตั้งแต่ขั้นตอนการรับวัตถุดิบ คัดแยกผลิตภัณฑ์ การล้างทำความสะอาด จนกระทั่งบรรจุพร้อมส่งให้ลูกค้าต่อไป
ขั้นตอนในการดำเนินงานวิจัย ประกอบด้วย (1) ศึกษาข้อมูลเบื้องต้นของขั้นตอนการทำงาน
(2) วิเคราะห์ข้อมูลเบื้องต้นและเสนอแนวทางแก้ปัญหาและปรับปรุงงาน
(3) ทดลองปฏิบัติงานตามแนวทางที่นำเสนอ
(4) วิเคราะห์ผลการดำเนินงานก่อน-หลังปรับปรุง
(5) สรุปผล
ซึ่งงานวิจัยนี้ เน้นการปรับปรุงเครื่องจักรใหม่และออกแบบวิธีการทำงานใหม่
ผลการศึกษาพบว่า อัตราผลิตภาพรวมเพิ่มขึ้นร้อยละ 36.0
อัตราผลิตภาพแรงงานเพิ่มขึ้นร้อยละ 58.5
อัตราผลิตภาพวัตถุดิบเพิ่มขึ้นร้อยละ 0.38
อัตราผลิตภาพแรงงานเพิ่มขึ้นร้อยละ 8.50
ซึ่งแนวทางการปรับปรุงงานที่ได้จากงานวิจัยนี้ สามารถนำไปประยุกต์ใช้กับโรงงานอุตสาหกรรมอื่น ๆ
เพื่อปรับปรุงการผลิตโดยรวมได้
