sentences
งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาผลของสภาวะเครียดจากความเค็มต่อการงอกของเมล็ดและฤทธิ์ต้านอนุมูลอิสระในเมล็ดธัญพืชเพาะงอก
โดยนำเมล็ดธัญพืช 10 ชนิด ได้แก่ ข้าวกข 43 ข้าวไรซ์เบอร์รี่ ข้าวหอมสีนิล ข้าวเหนียวดำลืมผัว ข้าวหอมมะลิ ถั่วเขียว ถั่วดำ ถั่วแดง ข้าวโพด และงาดำ
แต่ละชนิดนำไปเพาะงอกในสภาวะเครียดจากความเค็ม 5 ระดับความเข้มข้น คือ 0% (ชุดควบคุม) 0.5% 1% 1.5% และ 2%
โดยแช่เป็นเวลา 12 ชั่วโมง
และนำไปบ่มเพาะต่อเป็นเวลา 48 ชั่วโมง
และสุ่มตัวอย่างมาวิเคราะห์เปอร์เซ็นต์การงอกและความยาวรากทุก 12 ชั่วโมง ผลการศึกษาพบว่า สภาวะเครียดจากความเค็ม 0.5% สามารถชักนำการงอกของเมล็ดธัญพืชทั้ง 10 ชนิดได้ดีที่สุด
จากนั้นศึกษาผลของสภาวะเครียดจากความเค็ม 0.5% ต่อฤทธิ์ต้านอนุมูลอิสระของเมล็ดธัญพืชแต่ละชนิด
โดยเปรียบเทียบกับการเพาะงอกในสภาวะปกติ (ชุดควบคุม)
ซึ่งทำการแช่เป็นเวลา 12 ชั่วโมง
และนำไปบ่มเพาะต่อเป็นเวลา 48 ชั่วโมง
จากนั้นสุ่มตัวอย่างมาวิเคราะห์ฤทธิ์ต้านอนุมูลอิสระทุก 12 ชั่วโมง
ผลการศึกษาพบว่าเมล็ดธัญพืชทั้ง 10 ชนิด ที่เพาะงอกในสภาวะเครียดจากความเค็ม 0.5% มีปริมาณประกอบฟีนอลิกทั้งหมด และกรดแอสคอร์บิก รวมทั้งศักยภาพรวมการต้านอนุมูลอิสระวิธี DPPH และ FRAP สูงกว่าชุดควบคุมที่เพาะในสภาวะปกติ
ดังนั้นการแช่และเพาะงอกเมล็ดธัญพืชในสภาวะเครียดจากความเค็มก่อนนำไปประกอบอาหารเพื่อบริโภคจึงเป็นอีกวิธีหนึ่งที่สามารถช่วยเพิ่มคุณค่าทางอาหารของเมล็ดธัญพืชได้
